Province,Nearest major airport,Range/Region,Year first climbed,Name,Convenient Center,Difficulty,Country,Most recent eruption,Best months for climbing,Id,Elevation (meters),Heights,First successful climber(s),State,Longitude,Volcanic status,Elevation (feet),Latitude,Continent
,,,,ebright azimuth,,walk up,United States,,,3420,135.0,442 ft/135 m,,delaware,-75.520592,,442.0,39.836476,north america
,,,,driskill mountain,,walk up,United States,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3427,163.0,535 ft/163 m,,louisiana,-92.89669,,535.0,32.424856,north america
,,,,"sunflower, mount",,walk up,United States,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3426,1231.0,4039 ft/1231 m,,kansas,-102.037141,,4039.0,39.021982,north america
,,,,hawkeye point,,walk up,United States,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3425,509.0,1670 ft/509 m,,iowa,-95.708891,,1670.0,43.460154,north america
,"dayton, oh",,,hoosier hill,"richmond, in",walk up,United States,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3424,383.0,1257 ft/383 m,,indiana,-84.850884,,1257.0,40.000345,north america
,quito,ecuador andes,1963.0,el altar,,technical climb,Ecuador,,"nov, dec",2002,5320.0,17454 ft/5320 m,,,-78.411484,,17454.0,-1.664277,south america
,"san juan, mendoza",central argentina-chile,,wanda peak,"barreal, san juan",scramble,Argentina,,"jan, feb, nov, dec",2003,5400.0,17716 ft/5400 m,,,,,17716.0,,south america
,vancouver,british columbia coast ranges,1910.0,sky pilot,squamish,technical climb,Canada,,"jul, aug, sep",2000,2025.0,6644 ft/2025 m,basil darling,,,,6644.0,,north america
,kiruna,,,tuolpagorni,kebnekaise fjällstation,scramble,Sweden,,"jun, jul, aug",2001,1675.0,5495 ft/1675 m,,,18.5167,,5495.0,67.8667,europe
,aspen-pitkin county airport,elk range area,,aspen mountain,"aspen, colorado",walk up,United States,,"may, jun, jul, aug",4589,3263.0,10705 ft/3263 m,,colorado,-106.829206,,10705.0,39.176099,north america
,hue,annamese cordillera,,kim phung,hue,walk up,Vietnam,,,4588,427.0,1401 ft/427 m,,,107.535521,,1401.0,16.390305,asia
,"san juan, mendoza",central argentina-chile,,alma negra,"barreal, san juan",scramble,Argentina,,"jan, feb, nov, dec",2004,6110.0,20046 ft/6110 m,,,,,20046.0,,south america
,geneva,,,dent de jaman,montreux,scramble,Switzerland,,"may, jun, jul, aug, sep, oct",4416,1875.0,6152 ft/1875 m,,,6.975,,6152.0,46.444963,europe
,loreto international airport,,,isla coronado,loreto,scramble,Mexico,,"jan, feb, mar, apr, may, jun, jul, oct, nov, dec",4585,575.0,1886 ft/575 m,,,-111.270847,dormant,1886.0,26.129367,north america
,konya and antalya,,,bademli dagi,seydisehir,scramble,Turkey,,"apr, may, jun, jul, aug, sep",2008,2080.0,6824 ft/2080 m,,,,,6824.0,,asia
,antalya,,,elmali dagi,elmali,walk up,Turkey,,"apr, may, jun, jul, aug, sep",2009,2505.0,8218 ft/2505 m,,,,,8218.0,,asia
,bergamo,nyainqentanglha shan,,tornello (pizzo),schilpario,walk up,Italy,,"jun, jul, aug, sep, oct",4581,2687.0,8816 ft/2687 m,,,10.112228,,8816.0,46.035705,europe
,quito,ecuador andes,,chiles (volcan),tulcan,walk up,Ecuador,,"jan, feb, jun, jul, aug, dec",4580,4748.0,15577 ft/4748 m,,,-77.936926,active,15577.0,0.816995,south america
,bergamo,orobie alps,,tornone (monte),schilpario,walk up,Italy,,"may, jun, jul, aug, sep, oct, nov",4582,2576.0,8451 ft/2576 m,,,10.113344,,8451.0,46.030104,europe
,anchorage,chugach mountains,,"baldy, mt",anchorage,walk up,United States,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4414,1000.0,3281 ft/1000 m,,alaska,-149.461901,,3281.0,61.332626,north america
,"tbilisi airport, vladikavkaz airport",central caucasus,,suatisi,"kazbek, tbilisi, vladikavkaz",major mountain expedition,Georgia,,"jun, jul, aug, sep",2118,4466.0,14652 ft/4466 m,hasn't been climbed officially,,44.4167,,14652.0,42.6833,europe
,,southern brazilian highlands,,gavea rock,,,Brazil,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",1854,842.0,2762 ft/842 m,,,,,2762.0,,south america
,launceston,,1826.0,ben lomond,launceston,walk up,Australia,,"jan, feb, mar",4301,1575.0,5167 ft/1575 m,john batman,,147.658537,,5167.0,-41.532511,australia/oceania
,eugene airport,cascade range,,kelsay mountain,"chemult, oregon",walk up,United States,,"apr, may, jun, jul, aug, sep, oct",3331,1821.0,5974 ft/1821 m,,oregon,-122.184479,,5974.0,43.348735,north america
,munich,stubai alps,,lisenser fernerkogel,neustift,basic snow/ice climb,Austria,,"jul, aug, sep",1544,3299.0,10823 ft/3299 m,,,11.1167,,10823.0,47.0833,europe
,hobart,,1853.0,"field west, mt",hobart,scramble,Australia,,"jan, feb, mar",4300,1434.0,4705 ft/1434 m,james sprent and party,,146.51583,,4705.0,-42.654632,australia/oceania
,vancouver international airport,british columbia coast ranges,1957.0,"matier, mount",pemberton,scramble,Canada,,"apr, may, jun, jul, aug, sep",1856,2783.0,9130 ft/2783 m,r. chambers; r. mason; c. scott; p sherman,,-122.433,,9130.0,50.3167,north america
,"colima national airport, located 15 km north to colima city.",cordillera neovolcanica,,nevado de colima,"colima city, mexico,",scramble,Mexico,1998,"jan, feb, mar, apr, dec",50,4450.0,14600 ft/4450 m,,,-103.633,active,14600.0,19.55,north america
,kuala lumpur international airport (klia),,,gunung datuk,,walk up,Malaysia,,"mar, apr, may, jun, jul, aug",1857,884.0,2900 ft/884 m,believed as a legendary warrior,,,,2900.0,,asia
,quebec city,,,"caubvik, mount",,,Canada,,"jun, jul, aug",507,1652.0,5420 ft/1652 m,,,-63.6,,5420.0,58.8833,north america
,"friedrichshafen, memmingen, munich, zuerich",austrian alps,,sorgschrofen,kempten/allgäu,scramble,Germany,,"jul, aug, sep",3557,1636.0,5361 ft/1636 m,,,10.454167,,5361.0,47.555833,europe
,"friedrichshafen, memmingen",austrian alps,,steinschartenkopf,"oberstdorf, steeg",scramble,Austria,,"jul, aug, sep",3556,2615.0,8579 ft/2615 m,,,10.280833,,8579.0,47.285,europe
,"friedrichshafen, memmingen",austrian alps,,wilder mann,"oberstdorf, steeg",scramble,Germany,,"jul, aug, sep",3555,2577.0,8455 ft/2577 m,,,10.280328,,8455.0,47.288137,europe
,"milano, munich",,,ifinger,"merano, bolzano",scramble,Italy,,"jun, jul, aug, sep, oct",3554,2581.0,8468 ft/2581 m,,,11.255492,,8468.0,46.693253,europe
,"friedrichshafen, memmingen",austrian alps,,mädelegabel,"oberstdorf, steeg",scramble,Germany,,"jul, aug, sep",3553,2645.0,8678 ft/2645 m,,,10.295833,,8678.0,47.3,europe
,seattle-tacoma (or vancouver bc),cascade range,1904.0,hozomeen,"marblemount, wa (or hope bc)",technical climb,United States,,"jul, aug",3552,2459.0,8066 ft/2459 m,sledge tatum and george loudon jr.,washington,-121.012087,,8066.0,48.982245,north america
,santa cruz de la palma,canary islands,,roque de los muchachos,santa cruz de la palma,walk up,Spain,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3551,2426.0,7959 ft/2426 m,,,-17.876129,,7959.0,28.76179,europe
,aeropuerto de cordoba,,,cerro champaqui,villa alpina-cordoba,walk up,Argentina,,"jan, mar, apr, may, jun, jul, aug, sep, oct, dec",3550,2880.0,9449 ft/2880 m,,,-64.936967,,9449.0,-31.986821,south america
,cairns,cape york ranges,,thornton peak,cape tribulation,scramble,Australia,,"may, jun, jul, aug, sep",4304,1374.0,4508 ft/1374 m,,,145.374119,,4508.0,-16.164291,australia/oceania
,stuttgart,swabian alb,,stuifen,schwäbisch gmünd,walk up,Germany,,"mar, apr, may, jun, jul, aug, sep, oct",3559,757.0,2484 ft/757 m,,,9.818172,,2484.0,48.744078,europe
,"milano, munich",,,hirzer,"merano, bolzano",scramble,Italy,,"jul, aug, sep, oct",3558,2781.0,9124 ft/2781 m,,,11.275706,,9124.0,46.738096,europe
,gunnison airport,sawatch range,,henry mountain,gunnison,scramble,United States,,"jul, aug, sep",667,4040.0,13254 ft/4040 m,,colorado,-106.617,,13254.0,38.6833,north america
,john wayne,,,santiago,silverado,walk up,United States,,"apr, may, oct, nov, dec",1262,1733.0,5687 ft/1733 m,john muir,california,-117.533,,5687.0,33.7103,north america
,,,,krakatoa,,,Indonesia,,,717,813.0,2667 ft/813 m,,,105.440565,,2667.0,-6.146322,australia/oceania
,seattle-tacoma,cascade range,,old snowy,packwood,scramble,United States,,"jun, jul, aug, sep",2176,2417.0,7930 ft/2417 m,,washington,-121.454072,,7930.0,46.512068,north america
,inverness / glasgow,scottish highlands,,sgurr alasdair,portree / broadford,scramble,United Kingdom,,"mar, apr, may, jun, jul, aug, sep, oct, nov",504,992.0,3254 ft/992 m,dr. norman collie,,-6.22393,,3254.0,57.2068,europe
,rawalakot,,,bedori top,forward kahuta,walk up,Pakistan,,"may, jun, jul, aug",1261,3727.0,12229 ft/3727 m,,,,,12229.0,,asia
,torreon,sierra madre occidental,,picacho,torreon,walk up,Mexico,,"jan, feb, nov, dec",2177,3120.0,10236 ft/3120 m,,,-103.3,,10236.0,25.1667,north america
,"phoenix, az",,,weaver's needle,"phoenix, az",technical climb,United States,,"jan, feb, mar, oct, nov, dec",2910,1388.0,4553 ft/1388 m,,arizona,-111.37,,4553.0,33.4331,north america
,trabzon,pontic mountains,,Çakırgöl,trabzon,,Turkey,,"jun, jul, aug, sep",2911,3034.0,9954 ft/3034 m,tedak as a group,,29.15,,9954.0,40.5667,asia
,oslo,jotunheimen,,fannaraki,turtagro,walk up,Norway,,"jun, jul, aug, sep",2912,2068.0,6785 ft/2068 m,,,7.9167,,6785.0,61.5185,europe
,seattle,cascade range,,chilly mtn,leavenworth,scramble,United States,,"jun, jul, aug, sep, oct",664,2426.0,7960 ft/2426 m,,washington,,,7960.0,,north america
,seattle-tacoma,cascade range,1932.0,seven fingered jack,everett,scramble,United States,,"jun, jul, aug, sep, oct",2914,2767.0,9077 ft/2767 m,richard alt,washington,-120.814419,,9077.0,48.150426,north america
,seattle-tacoma,olympic mountains,,"mystery, mount",sequim,basic snow/ice climb,United States,,"jul, aug, sep",2915,2326.0,7639 ft/2326 m,,washington,-123.221283,,7639.0,47.795646,north america
,reno,sierra nevada,,donner peak,,walk up,United States,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",719,2444.0,8019 ft/2444 m,,california,-120.311,,8019.0,39.3089,north america
,"brussels, liege",north france-west rhine area,,signal de botrange,"eupen, malmedy",walk up,Belgium,,,718,694.0,2277 ft/694 m,,,6.092778,,2277.0,50.501667,europe
,skardu,,1970.0,k-6 baltistan peak,skardu,technical climb,Pakistan,,"may, aug",2918,7282.0,23888 ft/7282 m,"von der hecken, g. haberl, e. koblmüller, g. pressl",,76.33,,23888.0,35.25,asia
,reno,sierra nevada,,"rose, mount","incline village, nevada",walk up,United States,,"may, jun, jul, aug, sep",716,3285.0,10776 ft/3285 m,,california,,,10776.0,,north america
,anchorage,alaska range,,avalanche spire,petersville,technical climb,United States,,"jul, aug",715,2905.0,9530 ft/2905 m,,alaska,-151.153333,,9530.0,62.806389,north america
,internacional simón bolívar,coastal venezuela,1872.0,pico naiguatá,caracas,scramble,Venezuela,,"jan, feb, oct, nov, dec",714,2765.0,9071 ft/2765 m,james mudie spence,,-66.782584,,9071.0,10.543002,south america
,"otopeni,bucharest",transylvanian alps,,bucura,busteni,walk up,Romania,,"jun, jul, aug",1797,2504.0,8215 ft/2504 m,,,,,8215.0,,europe
,lyon or grenoble (and gap),dauphine alps,1828.0,pelvoux,ailefroide near briancon,basic snow/ice climb,France,,"jul, aug",712,3943.0,12936 ft/3943 m,"cap. a. durand, jacques-etienne matheoud, alexis liotard",,6.38333,,12936.0,44.8833,europe
,chambéry,graian alps,,tsanteleina,tignes - val d'isère,basic snow/ice climb,France,,"jun, jul, aug",711,3602.0,11817 ft/3602 m,,,7.03333,,11817.0,45.4667,europe
,herakleion,greek-albanian ranges,,psiloreitis,herakleion,walk up,Greece,,"apr, may, jun, sep, oct",710,2456.0,8058 ft/2456 m,,,24.75,,8058.0,35.2167,europe
,innsbruck,kitzbuhel,1881.0,totenkirchl,,technical climb,Austria,,"jun, jul, aug, sep, oct",661,2190.0,7185 ft/2190 m,,,12.311944,,7185.0,47.57,europe
,oslo,,,svanatindan,kongsvoll,walk up,Norway,,"may, jun, jul, aug, sep",640,2209.0,7247 ft/2209 m,,,,,7247.0,,europe
,zurich,,,piz linard,susch lavin,scramble,Switzerland,,"jul, aug, sep",1264,3410.0,11188 ft/3410 m,,,10.0333,,11188.0,46.8333,europe
,mendoza city,central argentina-chile,,tolosa,las cuevas,scramble,Argentina,,"jan, feb, mar, nov, dec",2178,5432.0,17821 ft/5432 m,,,-70.031583,,17821.0,-32.769657,south america
,,northwest iran ranges,,sabalan,ardabil,walk up,Iran,,"jun, jul, aug, sep",1069,4811.0,15784 ft/4811 m,,,47.836944,,15784.0,38.266944,asia
,sofia,,,ruj,tran,walk up,Bulgaria,,"apr, may, jun, jul, aug, sep, oct",1068,1706.0,5597 ft/1706 m,,,22.575556,,5597.0,42.862778,europe
,dublin airport,ireland ,1998.0,"mafikeng, mount",howth village,walk up,Ireland,,"may, jun, jul, aug",2179,150.0,492 ft/150 m,colonel ludi,,,,492.0,,europe
,"jackson, wy",teton range - yellowstone area,1930.0,nez perce peak,"jackson, wy",technical climb,United States,,"jun, jul, aug, sep",4641,3627.0,11901 ft/3627 m,phil smith,wyoming,-110.797539,,11901.0,43.719157,north america
,milano or geneva,pennine alps,,mont gele,aosta (italy),walk up,Switzerland,,"jul, aug, sep",1061,3518.0,11542 ft/3518 m,,,7.366222,,11542.0,45.90448,europe
,"arequipa, peru",peruvian andes,1878.0,el misti,"arequipa, peru",walk up,Peru,,"may, jun, jul, aug",1060,5822.0,19101 ft/5822 m,"r. falb, on muleback , 
 (there were earlier unrecorded ascents by natives)",,-71.4,active,19101.0,-16.3,south america
,manchester,lake district,,scafell pike,keswick,walk up,United Kingdom,,"jan, feb, nov, dec",1063,978.0,3209 ft/978 m,n/a,,-3.21154,,3209.0,54.4542,europe
,"lyon, france",dauphine alps,1864.0,ecrins,"brianáon, la bèrarde,, ailefroide, and other tourist villages",technical climb,France,,"jul, aug, sep",1062,4101.0,13455 ft/4101 m,"edward whymper, a.w. moore, christian almer, michel croz",,6.36667,,13455.0,44.9167,europe
,"trenton, me",new england upland,,cadillac mountain,bar harbor,walk up,United States,,"may, jun, jul, aug",1065,467.0,1533 ft/467 m,,maine,-68.2244,,1533.0,44.3528,north america
,bucuresti,transylvanian alps,,negoiu,victoria,scramble,Romania,,"jun, aug",1064,2439.0,8002 ft/2439 m,,,24.555833,,8002.0,45.586944,europe
,"tbilisi, georgia",western caucasus,1914.0,dombai-ulgen,"sukhumi, georgia",technical climb,Georgia,,"jun, jul, aug, sep",1067,4046.0,13274 ft/4046 m,schuster and fischer,,41.7167,,13274.0,43.2333,europe
,denver international,flat tops area,,flattop mountain,yampa,walk up,United States,,"jun, jul, aug, sep",1669,3808.0,12493 ft/3808 m,,,-107.083392,,12493.0,40.014732,north america
,evenes,,,nona,harstad,scramble,Norway,,,1668,1012.0,3320 ft/1012 m,,,16.450687,,3320.0,68.921001,europe
,oakland international (oak),sierra nevada,,clouds rest,tuolumne meadows,walk up,United States,,"jul, aug, sep",1667,3025.0,9926 ft/3025 m,???,california,-119.489266,,9926.0,37.767853,north america
,kozani,greek-albanian ranges,1993.0,bourinos,eani,walk up,Greece,,"apr, may",1666,1866.0,6122 ft/1866 m,zissis ftakas,,21.65,,6122.0,40.1833,europe
,pedras rubras (oporto),portugal-galicia,,cantaro magro,covilha (11km),walk up,Portugal,,"apr, may, jun, jul, aug, sep, oct, nov",1665,1928.0,6325 ft/1928 m,,,-7.599277,,6325.0,40.327964,europe
,seattle-tacoma,cascade range,,elephant butte,marblemount,scramble,United States,,"jun, jul, aug, sep",4620,2249.0,7380 ft/2249 m,,washington,-121.2184,,7380.0,48.7925,north america
,tehran,alborz,,shah alborz,taleghan,walk up,Iran,,"mar, apr, may, jun, jul, aug, sep",1662,4200.0,13779 ft/4200 m,,,50.753262,,13779.0,36.314523,asia
,hobart,,1947.0,federation peak,hobart,scramble,Australia,,"jan, feb, dec",1661,1274.0,4180 ft/1274 m,geelong grammer led by bechevaise,,,,4180.0,,australia/oceania
,lugano agno,,,monte gaggio,bellinzona,walk up,Switzerland,,,1660,2267.0,7438 ft/2267 m,,,,,7438.0,,europe
,"ajaccio,bonifacio",tyrrhennian islands,,punta di a vacca (tower iii),zonza,scramble,France,,,4329,1561.0,5121 ft/1561 m,,,9.213737,,5121.0,41.805235,europe
,brisbane,north nsw great dividing range,,the magistrate,deepwater,,Australia,,,4328,1502.0,4928 ft/1502 m,,,152.009656,,4928.0,-29.376913,australia/oceania
,munich,bavarian alps,,kampenwand,,walk up,Germany,,"may, jun, jul, aug, sep, oct",593,1668.0,5472 ft/1668 m,,,12.3667,,5472.0,47.75,europe
,enontekiö,,,halti,kilpisjärvi,walk up,Finland,,"jul, aug, sep",592,1328.0,4357 ft/1328 m,early lapp peoples,,21.279947,,4357.0,69.322633,europe
,munich,bavarian alps,1825.0,alpspitze,garmisch-partenkirchen,scramble,Germany,,"jun, jul, aug, sep",1083,2628.0,8622 ft/2628 m,j. burger,,11.048015,,8622.0,47.42956,europe
,milano,,,cima di jazzi,staffa (zermatt),basic snow/ice climb,Italy,,,594,3803.0,12477 ft/3803 m,,,7.894707,,12477.0,45.980681,europe
,austin,,,enchanted rock,fredericksburg,walk up,United States,,"feb, apr, may, sep, oct, nov",1081,556.0,1825 ft/556 m,native americans (probably comanche),texas,-98.8189,,1825.0,30.5066,north america
,prague-ruzyne,,1995.0,snezka,jablonec nad nisou,scramble,Czech Republic,,aug,596,1602.0,5256 ft/1602 m,pavel nov·k,,15.740061,,5256.0,50.736292,europe
,roma fiumicino,apennines,,monte amaro,sulmona,walk up,Italy,,"apr, may, jun, oct, nov",599,2793.0,9163 ft/2793 m,,,14.0833,,9163.0,42.0833,europe
,strassbourg,,,grand ballon,colmar,walk up,France,,"apr, may, jun, jul, aug, sep, oct",598,1424.0,4672 ft/1424 m,,,7.33333,,4672.0,47.75,europe
,christchurch,,,turner peak,mount cook village,basic snow/ice climb,New Zealand,,"jan, feb, mar, nov, dec",4323,2338.0,7671 ft/2338 m,,,170.147324,,7671.0,-43.639802,australia/oceania
,launceston or hobart,,,barn bluff,,scramble,Australia,,,4322,1559.0,5114 ft/1559 m,,,145.939805,,5114.0,-41.717527,australia/oceania
,figari,,,punta di malanda,zonza,scramble,France,,"may, jun, jul, aug, sep, oct",4325,1166.0,3825 ft/1166 m,,,9.259239,,3825.0,41.835757,europe
,williams lake,british columbia coast ranges,1936.0,monarch mountain,vancouver,major mountain expedition,Canada,,"jul, aug",4324,3555.0,11663 ft/3555 m,henry s. hall jr. and hans fuhrer,,-125.876287,,11663.0,51.899443,north america
,"geneva, switzerland",savoy alps,1865.0,matterhorn,"zermatt, switzerland",technical climb,Switzerland,,"jul, aug, sep",1089,4478.0,14691 ft/4478 m,edward whymper and party (see note below),,7.658333,,14691.0,45.976389,europe
,zadar,dinaric alps,,dinara,knin,walk up,Croatia,,"jun, jul, aug",1088,1831.0,6007 ft/1831 m,,,16.381,,6007.0,44.056,europe
,"guatemala city, guatemala",guatemala ranges,,volcán san pedro,san francisco panajachel,walk up,Guatemala,,"jan, feb",3140,3018.0,9902 ft/3018 m,,,-91.2662,dormant,9902.0,14.6603,north america
,"seattle-tacoma or vancouver, bc",cascade range,1930.0,"redoubt, mount",bellingham,scramble,United States,,"jul, aug, sep",3141,2734.0,8969 ft/2734 m,"jimmy cherry, bob ross",washington,-121.300864,,8969.0,48.95782,north america
,seattle-tacoma,cascade range,,"blum, mount",sedro-woolley,scramble,United States,,"jun, jul, aug, sep",3142,2341.0,7680 ft/2341 m,,washington,-121.482482,,7680.0,48.754123,north america
,billund,,1548.0,himmelbjerget,silkeborg,walk up,Denmark,9999 bc,"apr, may, jun, jul, aug, sep",3144,178.0,584 ft/178 m,harald bluetooth,,9.685,extinct,584.0,56.105278,europe
,"narita international airport, kansai international airport",honshu,,kashima yarigatake,"omachi, nagano or matsumoto, nagano",walk up,Japan,,"aug, sep, oct",3145,2889.0,9478 ft/2889 m,,,137.747,,9478.0,36.6238,asia
,"narita international airport, kansai international airport",honshu,,jiigatake,"omachi, nagano or matsumoto, nagano",walk up,Japan,,"jul, aug, sep, oct",3146,2670.0,8760 ft/2670 m,,,137.75,,8760.0,36.5874,asia
,"narita international airport, kansai international airport",honshu,,houkendake,"ina city, nagano",scramble,Japan,,"aug, sep, oct",3147,2931.0,9616 ft/2931 m,,,137.809,,9616.0,35.7822,asia
,manchester,lake district,,carrick fell,kendal,walk up,United Kingdom,,"may, jun, jul, aug",3148,663.0,2174 ft/663 m,percy bysshe shelley,,,,2174.0,,europe
,trabzon,pontic mountains,,altiparmak,trabzon,,Turkey,,"jul, aug, sep",2825,3605.0,11827 ft/3605 m,,,38.0,,11827.0,39.0,asia
,seattle-tacoma,cascade range,,peak 6870,"marblemount, winthrop",scramble,United States,,"jul, aug, sep, oct",4621,2094.0,6870 ft/2094 m,,washington,-120.770795,,6870.0,48.507834,north america
,antalya,taurus mountains,,kizlarsivrisi,antalya,,Turkey,,"may, jun, jul, aug, sep, oct",2827,3086.0,10125 ft/3086 m,,,37.0,,10125.0,37.0,asia
,isparta,taurus mountains,,dipoyraz,eğirdir,scramble,Turkey,,"may, jun, jul, aug, sep, oct",2821,3007.0,9865 ft/3007 m,,,31.19,,9865.0,37.38,asia
,trabzon,pontic mountains,,karcal,trabzon,,Turkey,,"jun, jul, aug, sep",2822,3428.0,11247 ft/3428 m,,,42.0,,11247.0,41.05,asia
,trabzon,pontic mountains,,tatos,trabzon,,Turkey,,"jul, aug, sep",2823,3633.0,11919 ft/3633 m,,,32.0,,11919.0,40.0,asia
alberta,calgary,canadian rockies,1910.0,"babel, mount",banff,technical climb,Canada,,"jul, aug",3386,3101.0,10174 ft/3101 m,"hart, wilson, wheeler",,-116.1633,,10174.0,51.305556,north america
alberta,calgary international airport,canadian rockies,1929.0,"peechee, mount",canmore,scramble,Canada,,"jul, aug, sep",3384,2934.0,9626 ft/2934 m,party guided by lawrence grassi,,-115.3767,,9626.0,51.21,north america
,peshawer,hindu kush ,,istor-o-nal,peshawer,major mountain expedition,Pakistan,,"apr, may, jun, jul",3385,7276.0,23871 ft/7276 m,"major ken bankwala, joseph e. murphy, jr., and thomas a. mutch",,71.889167,,23871.0,36.386944,asia
alberta,calgary international airport,canadian rockies,1938.0,"girouard, mount",canmore,scramble,Canada,,"jul, aug, sep",3383,2995.0,9826 ft/2995 m,"e.e. bishop, d.r. crosby",,-115.404511,,9826.0,51.236987,north america
alberta,calgary or edmonton,canadian rockies,1926.0,"kerkeslin, mount",jasper,scramble,Canada,,"jul, aug",3380,2984.0,9790 ft/2984 m,slark and weber,,-117.8267,,9790.0,52.6483,north america
alberta,calgary international airport,canadian rockies,,mount inglismaldie,canmore,scramble,Canada,,"jul, aug, sep",3381,2964.0,9724 ft/2964 m,,,-115.4217,,9724.0,51.2417,north america
,fairbanks,alaska range,,"8620, peak",denali park,technical climb,United States,,"apr, may, jun",2032,2627.0,8620 ft/2627 m,,alaska,-150.25,,8620.0,63.25,north america
,,san juan mountains,,little giant peak,silverton,walk up,United States,,"jun, jul, aug, sep",1359,4089.0,13416 ft/4089 m,,colorado,-107.598,,13416.0,37.7964,north america
,glasgow,scottish highlands,,aonach eagach,fort william,scramble,United Kingdom,,"mar, apr, may, jun, jul, aug, sep",713,967.0,3172 ft/967 m,,,-5.0374,,3172.0,56.6794,europe
,salzburg,,,hochkönig,bischofshofen,walk up,Austria,,"jul, aug, sep",1409,2941.0,9649 ft/2941 m,"early ascended by farmers and hunters. first touristic ascension: thurwieser, 1826",,13.05,,9649.0,47.4167,europe
,milan,lepontine alps,,blinnenhorn,formazza,scramble,Italy,,"jun, jul, aug, sep",1403,3347.0,10981 ft/3347 m,,,8.308028,,10981.0,46.425944,europe
,milan,,1864.0,care alto,spiazzo,scramble,Italy,,"jun, jul, aug, sep",1402,3465.0,11368 ft/3465 m,h. montgomery and t. taylor,,10.595981,,11368.0,46.10792,europe
,erzurum airport,,,palandoken,başköy,walk up,Turkey,,"may, jun, jul, aug, sep",4437,3271.0,10732 ft/3271 m,,,41.2842,,10732.0,39.8489,asia
,quito,ecuador andes,1929.0,sangay,rio bama,basic snow/ice climb,Ecuador,,"jan, feb, dec",1400,5230.0,17159 ft/5230 m,"p. austin, r. moore, t. moore y l. thorne",,-78.341274,,17159.0,-2.004853,south america
,escobedo,sierra madre oriental,,el columpio,monterrey mexico,scramble,Mexico,,"feb, apr, nov, dec",1407,1700.0,5577 ft/1700 m,,,,,5577.0,,north america
,malpensa (milan),ortler alps,,palon de la mare,bormio,basic snow/ice climb,Italy,,"jul, aug, sep",1086,3703.0,12149 ft/3703 m,,,,,12149.0,,europe
,"liverpool, manchester",lake district,,grey friar,coniston,walk up,United Kingdom,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4215,773.0,2536 ft/773 m,,,-3.138653,,2536.0,54.394505,europe
,bielsko biała,carpathian mountains,,pilsko,korbielów,walk up,Poland,,,4214,1557.0,5108 ft/1557 m,,,19.1906,,5108.0,49.3138,europe
,venice,dolomites,,col rosà,cortina d'ampezzo,scramble,Italy,,"jun, jul, sep, oct",4217,2166.0,7106 ft/2166 m,,,12.097442,,7106.0,46.586652,europe
,granada,andalucian ranges,,pico gilillo,cazorla,scramble,Spain,,"apr, may, jun, jul, aug, sep, oct",4216,1848.0,6063 ft/1848 m,,,-2.993684,,6063.0,37.869527,europe
,poprad,carpathian mountains,1905.0,velicky stit,stary smokovec,,Slovakia,,"jun, jul, aug, sep, oct",4211,2318.0,7605 ft/2318 m,"a. grósz with company, but probably summited before that by unknown local hunters.",,20.135308,,7605.0,49.173922,europe
,poprad,carpathian mountains,1898.0,diva veza,stary smokovec,technical climb,Slovakia,,"jun, jul, aug, sep, oct",4210,2373.0,7785 ft/2373 m,k. englisch with his mother and mountain guide j. hunsdorfer,,20.144449,,7785.0,49.177793,europe
,asturias,cordillera cantabrica,,niajo,cangas de onis,scramble,Spain,,"may, jun, jul, aug, sep, oct",4213,1739.0,5705 ft/1739 m,,,-5.073028,,5705.0,43.136945,europe
,poprad,carpathian mountains,,hruba veza,stary smokovec,technical climb,Slovakia,,"jun, jul, aug, sep, oct",4212,2086.0,6844 ft/2086 m,"zygmunt klemensiewicz, roman kordys, jerzy maślanka",,20.130244,,6844.0,49.181384,europe
,cengkareng - jakarta,,1980.0,gunung parang,purwakarta,technical climb,Indonesia,,"apr, may, jun, jul, aug",443,963.0,3159 ft/963 m,itb team,,107.337912,,3159.0,-6.601492,asia
,manchester,lake district,,bowfell,ambleside,walk up,United Kingdom,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",1334,902.0,2959 ft/902 m,,,-3.16676,,2959.0,54.4492,europe
,geneva,pennine alps,1813.0,breithorn,zermatt,basic snow/ice climb,Switzerland,,"jun, jul, aug, sep",441,4164.0,13661 ft/4164 m,"henry maynard, joseph-marie couttet, jean gras, jean-baptiste erin, jean-jacques erin",,7.754101,,13661.0,45.939627,europe
,urumqi,kunlun,1985.0,ulugh muztagh,urumqi,major mountain expedition,China,,,440,6987.0,22923 ft/6987 m,"hu fengling, zhang baohua, ardaxi, mamuti, wu qiangxing",,87.384167,,22923.0,36.4125,asia
